-2.856e+00 -2.597e+00 -3.187e+00 -2.785e+00 -1.843e-01 +1.039e-01 +6.147e-02
-2.821e+00 -2.562e+00 -3.143e+00 -2.757e+00 -2.034e-01 +1.011e-01 +3.360e-02
-2.837e+00 -2.588e+00 -3.143e+00 -2.781e+00 -1.861e-01 +1.216e-01 +3.463e-02
-2.850e+00 -2.590e+00 -3.150e+00 -2.809e+00 -1.740e-01 +1.237e-01 +2.857e-02
-2.872e+00 -2.622e+00 -3.156e+00 -2.838e+00 -1.920e-01 +1.232e-01 +1.212e-02
-2.898e+00 -2.662e+00 -3.173e+00 -2.860e+00 -2.106e-01 +1.229e-01 +1.211e-02
-2.910e+00 -2.685e+00 -3.170e+00 -2.876e+00 -2.212e-01 +1.135e-01 +6.721e-03
-2.918e+00 -2.698e+00 -3.170e+00 -2.886e+00 -2.308e-01 +1.002e-01 -6.425e-03
-2.919e+00 -2.700e+00 -3.169e+00 -2.889e+00 -2.382e-01 +9.265e-02 -2.280e-02
-2.913e+00 -2.712e+00 -3.156e+00 -2.872e+00 -2.461e-01 +8.905e-02 -3.026e-02
