Begin Initialization
Simulation Box: Xlen=2.084e+01, Ylen=2.084e+01, Zlen=2.084e+01
12, 1.652235, 1.652235, 1.652235
Initalized positions
Initialized velocities
n_cells=343,ncellx=7,ncelly=7,ncellz=7
number of cells is 343
ecut=-2.039611e-01
Initialized
Density=0.191
xmin=-10.419, xmax=10.419, ymin=-10.419, ymax=10.419, zmin=-10.419, zmax=10.419
beta=1.000
friction_coeff=1.000
epsilon=12.500
Begin Equilibration
Begin MD
  100 	en/npart= -2.520e+01 	Etot/npart= -2.520e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
  200 	en/npart= -2.552e+01 	Etot/npart= -2.552e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
  300 	en/npart= -2.579e+01 	Etot/npart= -2.579e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
  400 	en/npart= -2.609e+01 	Etot/npart= -2.609e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
  500 	en/npart= -2.640e+01 	Etot/npart= -2.640e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
  600 	en/npart= -2.669e+01 	Etot/npart= -2.669e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
  700 	en/npart= -2.697e+01 	Etot/npart= -2.697e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
  800 	en/npart= -2.723e+01 	Etot/npart= -2.723e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
  900 	en/npart= -2.746e+01 	Etot/npart= -2.746e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
 1000 	en/npart= -2.768e+01 	Etot/npart= -2.768e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
 1100 	en/npart= -2.790e+01 	Etot/npart= -2.790e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
 1200 	en/npart= -2.811e+01 	Etot/npart= -2.811e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
 1300 	en/npart= -2.832e+01 	Etot/npart= -2.832e+01 	Temp= 0.000e+00 	COMv= +0.000e+00
